ncbi,genome,description,gid,ncbi_taxonomy
35,gn:T01558,"mfu, 35; Corallococcus macrosporus HW-1 (Myxococcus fulvus HW-1)",mfu,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus macrosporus
43,gn:T05065,"cfus, 43; Cystobacter fuscus DSM 52655",cfus,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Archangiaceae;g__Cystobacter;s__Cystobacter fuscus
48,gn:T03948,"age, 48; Archangium gephyra DSM 2261",age,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Archangiaceae;g__Archangium;s__Archangium gephyra
52,gn:T04010,"ccro, 52; Chondromyces crocatus Cm c5",ccro,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Polyangiaceae;g__Chondromyces;s__Chondromyces crocatus
63,gn:T04960,"vff, 63; Vitreoscilla filiformis ATCC 15551",vff,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Vitreoscilla;s__Vitreoscilla filiformis
69,gn:T04371,"lez, 69; Lysobacter enzymogenes C3",lez,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter enzymogenes
69,gn:T04598,"lem, 69; Lysobacter enzymogenes M497-1",lem,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__Lysobacter enzymogenes
94,gn:T06078,"shum, 94; Stella humosa ATCC 43930",shum,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Stella;s__Stella humosa
114,gn:T05475,"gog, 114; Gemmata obscuriglobus DSM 5831",gog,d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__Gemmata obscuriglobus
122,gn:T06180,"gmr, 122; Gimesia maris DSM 8797",gmr,d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__Gimesia;s__Gimesia maris
134,gn:T06304,"mpar, 134; Methylocystis parvus BRCS2",mpar,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__Methylocystis;s__Methylocystis parvus
162,gn:T06342,"tphg, 162; Treponema phagedenis S11.1",tphg,d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;s__Treponema phagedenis
192,gn:T03288,"abq, 192; Azospirillum brasilense Az39",abq,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Azospirillum;s__Azospirillum brasilense
192,gn:T04566,"abf, 192; Azospirillum brasilense Sp7",abf,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Azospirillum;s__Azospirillum brasilense
195,gn:T03870,"ccof, 195; Campylobacter coli FB1",ccof,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli
195,gn:T04527,"ccoo, 195; Campylobacter coli OR12",ccoo,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter coli
199,gn:T04635,"ccoc, 199; Campylobacter concisus ATCC 33237",ccoc,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter concisus
202,gn:T06923,"cmuc, 202; Campylobacter mucosalis ATCC 43264",cmuc,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter mucosalis
203,gn:T06768,"crx, 203; Campylobacter rectus ATCC 33238",crx,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter rectus
